Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Admin_login,Firefox 59.0,,2018-09-03 15:46:52,2018-09-03 15:47:48,56.129s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091001,Firefox 59.0,,2018-09-03 15:46:52,2018-09-03 15:47:01,8.341s,PASSED
openBrowser,Firefox 59.0,,2018-09-03 15:46:53,2018-09-03 15:46:58,5.034s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-03 15:46:58,2018-09-03 15:46:58,0.728s,PASSED
setText,Firefox 59.0,,2018-09-03 15:46:58,2018-09-03 15:46:59,0.120s,PASSED
setEncryptedText,Firefox 59.0,,2018-09-03 15:46:59,2018-09-03 15:46:59,0.560s,PASSED
click,Firefox 59.0,,2018-09-03 15:46:59,2018-09-03 15:47:00,1.287s,PASSED
closeBrowser,Firefox 59.0,,2018-09-03 15:47:00,2018-09-03 15:47:01,0.332s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091002,Firefox 59.0,,2018-09-03 15:47:01,2018-09-03 15:47:07,6.019s,PASSED
openBrowser,Firefox 59.0,,2018-09-03 15:47:01,2018-09-03 15:47:05,4.144s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-03 15:47:05,2018-09-03 15:47:06,0.781s,PASSED
setText,Firefox 59.0,,2018-09-03 15:47:06,2018-09-03 15:47:06,0.071s,PASSED
setEncryptedText,Firefox 59.0,,2018-09-03 15:47:06,2018-09-03 15:47:06,0.051s,PASSED
click,Firefox 59.0,,2018-09-03 15:47:06,2018-09-03 15:47:06,0.256s,PASSED
click,Firefox 59.0,,2018-09-03 15:47:06,2018-09-03 15:47:06,0.241s,PASSED
verifyElementText,Firefox 59.0,,2018-09-03 15:47:06,2018-09-03 15:47:06,0.041s,PASSED
verifyElementText,Firefox 59.0,,2018-09-03 15:47:06,2018-09-03 15:47:06,0.034s,PASSED
closeBrowser,Firefox 59.0,,2018-09-03 15:47:06,2018-09-03 15:47:07,0.232s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091003,Firefox 59.0,,2018-09-03 15:47:07,2018-09-03 15:47:12,5.619s,PASSED
openBrowser,Firefox 59.0,,2018-09-03 15:47:07,2018-09-03 15:47:11,4.042s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-03 15:47:11,2018-09-03 15:47:11,0.303s,PASSED
setText,Firefox 59.0,,2018-09-03 15:47:11,2018-09-03 15:47:11,0.060s,PASSED
setEncryptedText,Firefox 59.0,,2018-09-03 15:47:11,2018-09-03 15:47:11,0.054s,PASSED
click,Firefox 59.0,,2018-09-03 15:47:11,2018-09-03 15:47:12,0.265s,PASSED
click,Firefox 59.0,,2018-09-03 15:47:12,2018-09-03 15:47:12,0.325s,PASSED
verifyElementText,Firefox 59.0,,2018-09-03 15:47:12,2018-09-03 15:47:12,0.034s,PASSED
verifyElementText,Firefox 59.0,,2018-09-03 15:47:12,2018-09-03 15:47:12,0.026s,PASSED
closeBrowser,Firefox 59.0,,2018-09-03 15:47:12,2018-09-03 15:47:12,0.312s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091004,Firefox 59.0,,2018-09-03 15:47:12,2018-09-03 15:47:18,5.910s,PASSED
openBrowser,Firefox 59.0,,2018-09-03 15:47:13,2018-09-03 15:47:17,4.409s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-03 15:47:17,2018-09-03 15:47:17,0.217s,PASSED
setText,Firefox 59.0,,2018-09-03 15:47:17,2018-09-03 15:47:17,0.120s,PASSED
setEncryptedText,Firefox 59.0,,2018-09-03 15:47:17,2018-09-03 15:47:17,0.059s,PASSED
click,Firefox 59.0,,2018-09-03 15:47:17,2018-09-03 15:47:18,0.285s,PASSED
click,Firefox 59.0,,2018-09-03 15:47:18,2018-09-03 15:47:18,0.264s,PASSED
verifyElementText,Firefox 59.0,,2018-09-03 15:47:18,2018-09-03 15:47:18,0.037s,PASSED
verifyElementText,Firefox 59.0,,2018-09-03 15:47:18,2018-09-03 15:47:18,0.028s,PASSED
closeBrowser,Firefox 59.0,,2018-09-03 15:47:18,2018-09-03 15:47:18,0.322s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091005,Firefox 59.0,,2018-09-03 15:47:18,2018-09-03 15:47:24,6.215s,PASSED
openBrowser,Firefox 59.0,,2018-09-03 15:47:18,2018-09-03 15:47:23,4.830s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-03 15:47:23,2018-09-03 15:47:23,0.258s,PASSED
setText,Firefox 59.0,,2018-09-03 15:47:23,2018-09-03 15:47:24,0.135s,PASSED
