Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 68.0.3440.106,,2018-09-07 11:58:30,2018-09-07 11:58:39,9.008s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091008,Chrome 68.0.3440.106,,2018-09-07 11:58:30,2018-09-07 11:58:39,8.213s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-07 11:58:31,2018-09-07 11:58:35,4.424s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-07 11:58:35,2018-09-07 11:58:36,0.721s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-07 11:58:36,2018-09-07 11:58:36,0.248s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-07 11:58:36,2018-09-07 11:58:36,0.212s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 11:58:36,2018-09-07 11:58:38,1.086s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-07 11:58:38,2018-09-07 11:58:38,0.086s,PASSED
click,Chrome 68.0.3440.106,,2018-09-07 11:58:38,2018-09-07 11:58:38,0.158s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-07 11:58:38,2018-09-07 11:58:38,0.076s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-07 11:58:38,2018-09-07 11:58:39,0.749s,PASSED
