Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAA0040-Admin_login,Firefox 59.0,,2018-09-07 13:22:18,2018-09-07 13:23:19,1m - 1.273s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091001,Firefox 59.0,,2018-09-07 13:22:19,2018-09-07 13:22:29,10.624s,PASSED
openBrowser,Firefox 59.0,,2018-09-07 13:22:19,2018-09-07 13:22:26,6.866s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-07 13:22:26,2018-09-07 13:22:27,0.798s,PASSED
setText,Firefox 59.0,,2018-09-07 13:22:27,2018-09-07 13:22:27,0.183s,PASSED
setEncryptedText,Firefox 59.0,,2018-09-07 13:22:27,2018-09-07 13:22:27,0.687s,PASSED
click,Firefox 59.0,,2018-09-07 13:22:27,2018-09-07 13:22:29,1.338s,PASSED
closeBrowser,Firefox 59.0,,2018-09-07 13:22:29,2018-09-07 13:22:29,0.367s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091002,Firefox 59.0,,2018-09-07 13:22:29,2018-09-07 13:22:36,6.376s,PASSED
openBrowser,Firefox 59.0,,2018-09-07 13:22:29,2018-09-07 13:22:35,5.116s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-07 13:22:35,2018-09-07 13:22:35,0.311s,PASSED
setText,Firefox 59.0,,2018-09-07 13:22:35,2018-09-07 13:22:35,0.052s,PASSED
setEncryptedText,Firefox 59.0,,2018-09-07 13:22:35,2018-09-07 13:22:35,0.065s,PASSED
click,Firefox 59.0,,2018-09-07 13:22:35,2018-09-07 13:22:35,0.252s,PASSED
verifyElementText,Firefox 59.0,,2018-09-07 13:22:35,2018-09-07 13:22:35,0.050s,PASSED
verifyElementText,Firefox 59.0,,2018-09-07 13:22:35,2018-09-07 13:22:35,0.032s,PASSED
closeBrowser,Firefox 59.0,,2018-09-07 13:22:35,2018-09-07 13:22:36,0.275s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091003,Firefox 59.0,,2018-09-07 13:22:36,2018-09-07 13:22:42,6.182s,PASSED
openBrowser,Firefox 59.0,,2018-09-07 13:22:36,2018-09-07 13:22:41,5.021s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-07 13:22:41,2018-09-07 13:22:41,0.255s,PASSED
setText,Firefox 59.0,,2018-09-07 13:22:41,2018-09-07 13:22:41,0.106s,PASSED
setEncryptedText,Firefox 59.0,,2018-09-07 13:22:41,2018-09-07 13:22:41,0.041s,PASSED
click,Firefox 59.0,,2018-09-07 13:22:41,2018-09-07 13:22:41,0.253s,PASSED
verifyElementText,Firefox 59.0,,2018-09-07 13:22:41,2018-09-07 13:22:41,0.044s,PASSED
verifyElementText,Firefox 59.0,,2018-09-07 13:22:41,2018-09-07 13:22:41,0.020s,PASSED
closeBrowser,Firefox 59.0,,2018-09-07 13:22:41,2018-09-07 13:22:42,0.270s,PASSED
,,,,,,
Test Cases/Admin_Login/TCA091004,Firefox 59.0,,2018-09-07 13:22:42,2018-09-07 13:22:48,6.305s,PASSED
openBrowser,Firefox 59.0,,2018-09-07 13:22:42,2018-09-07 13:22:47,4.621s,PASSED
navigateToUrl,Firefox 59.0,,2018-09-07 13:22:47,2018-09-07 13:22:47,0.785s,PASSED
setText,Firefox 59.0,,2018-09-07 13:22:47,2018-09-07 13:22:47,0.066s,PASSED
