Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAA0042-Manage Department,Chrome 68.0.3440.106,,2018-09-20 18:34:14,2018-09-20 18:36:05,1m - 50.952s,FAILED
,,,,,,
Test Cases/Manage Department/TCA094001,Chrome 68.0.3440.106,,2018-09-20 18:34:15,2018-09-20 18:34:42,27.688s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-20 18:34:15,2018-09-20 18:34:36,20.961s,PASSED
navigateToUrl,Chrome 68.0.3440.106,,2018-09-20 18:34:36,2018-09-20 18:34:39,2.661s,PASSED
setText,Chrome 68.0.3440.106,,2018-09-20 18:34:39,2018-09-20 18:34:40,1.286s,PASSED
setEncryptedText,Chrome 68.0.3440.106,,2018-09-20 18:34:40,2018-09-20 18:34:40,0.365s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 18:34:40,2018-09-20 18:34:42,1.414s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:34:42,2018-09-20 18:34:42,0.511s,PASSED
,,,,,,
Test Cases/Manage Department/TCA094002,Chrome 68.0.3440.106,,2018-09-20 18:34:42,2018-09-20 18:35:20,37.948s,FAILED
click,Chrome 68.0.3440.106,,2018-09-20 18:34:43,2018-09-20 18:34:46,3.566s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:34:46,2018-09-20 18:34:46,0.103s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:34:46,2018-09-20 18:34:46,0.067s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:34:46,2018-09-20 18:34:46,0.065s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:34:46,2018-09-20 18:34:46,0.081s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:34:46,2018-09-20 18:34:47,0.072s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 18:34:47,2018-09-20 18:34:47,0.279s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:34:47,2018-09-20 18:34:47,0.148s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:34:47,2018-09-20 18:35:20,33.204s,FAILED
,,,,,,
Test Cases/Manage Department/TCA094003,Chrome 68.0.3440.106,,2018-09-20 18:35:20,2018-09-20 18:36:04,43.785s,FAILED
callTestCase,Chrome 68.0.3440.106,,2018-09-20 18:35:21,2018-09-20 18:35:30,9.040s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 18:35:30,2018-09-20 18:35:30,0.748s,PASSED
click,Chrome 68.0.3440.106,,2018-09-20 18:35:30,2018-09-20 18:35:31,0.358s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:35:31,2018-09-20 18:35:31,0.146s,PASSED
verifyElementText,Chrome 68.0.3440.106,,2018-09-20 18:35:31,2018-09-20 18:36:04,33.156s,FAILED
