Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAA0043-Manage Employees Department,Firefox 61.0,,2018-09-20 18:51:45,2018-09-20 18:52:09,24.395s,PASSED
,,,,,,
Test Cases/Manage Employees Department/TCA095001,Firefox 61.0,,2018-09-20 18:51:45,2018-09-20 18:51:57,11.404s,PASSED
openBrowser,Firefox 61.0,,2018-09-20 18:51:46,2018-09-20 18:51:53,7.128s,PASSED
navigateToUrl,Firefox 61.0,,2018-09-20 18:51:53,2018-09-20 18:51:54,0.685s,PASSED
setText,Firefox 61.0,,2018-09-20 18:51:54,2018-09-20 18:51:54,0.250s,PASSED
setEncryptedText,Firefox 61.0,,2018-09-20 18:51:54,2018-09-20 18:51:54,0.298s,PASSED
click,Firefox 61.0,,2018-09-20 18:51:54,2018-09-20 18:51:57,2.550s,PASSED
,,,,,,
Test Cases/Manage Employees Department/TCA095002,Firefox 61.0,,2018-09-20 18:51:57,2018-09-20 18:52:08,11.636s,PASSED
click,Firefox 61.0,,2018-09-20 18:51:57,2018-09-20 18:51:57,0.286s,PASSED
selectOptionByValue,Firefox 61.0,,2018-09-20 18:51:57,2018-09-20 18:51:58,0.478s,PASSED
delay,Firefox 61.0,,2018-09-20 18:51:58,2018-09-20 18:52:00,2.033s,PASSED
verifyTextPresent,Firefox 61.0,,2018-09-20 18:52:00,2018-09-20 18:52:01,1.153s,PASSED
selectOptionByValue,Firefox 61.0,,2018-09-20 18:52:01,2018-09-20 18:52:01,0.433s,PASSED
verifyTextPresent,Firefox 61.0,,2018-09-20 18:52:01,2018-09-20 18:52:02,1.002s,PASSED
verifyElementClickable,Firefox 61.0,,2018-09-20 18:52:02,2018-09-20 18:52:02,0.050s,PASSED
selectOptionByValue,Firefox 61.0,,2018-09-20 18:52:02,2018-09-20 18:52:03,0.386s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:03,2018-09-20 18:52:03,0.333s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:03,2018-09-20 18:52:03,0.068s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:03,2018-09-20 18:52:03,0.050s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:03,2018-09-20 18:52:03,0.042s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:03,2018-09-20 18:52:03,0.047s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:03,2018-09-20 18:52:03,0.048s,PASSED
selectOptionByValue,Firefox 61.0,,2018-09-20 18:52:03,2018-09-20 18:52:04,0.541s,PASSED
setText,Firefox 61.0,,2018-09-20 18:52:04,2018-09-20 18:52:04,0.062s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:04,2018-09-20 18:52:04,0.329s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:04,2018-09-20 18:52:05,0.266s,PASSED
setText,Firefox 61.0,,2018-09-20 18:52:05,2018-09-20 18:52:05,0.079s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:05,2018-09-20 18:52:05,0.302s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:05,2018-09-20 18:52:05,0.077s,PASSED
selectOptionByValue,Firefox 61.0,,2018-09-20 18:52:05,2018-09-20 18:52:05,0.438s,PASSED
setText,Firefox 61.0,,2018-09-20 18:52:05,2018-09-20 18:52:06,0.059s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:06,2018-09-20 18:52:06,0.351s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:06,2018-09-20 18:52:06,0.046s,PASSED
setText,Firefox 61.0,,2018-09-20 18:52:06,2018-09-20 18:52:06,0.071s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:06,2018-09-20 18:52:06,0.350s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:06,2018-09-20 18:52:06,0.045s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:06,2018-09-20 18:52:07,0.341s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:07,2018-09-20 18:52:07,0.034s,PASSED
verifyElementPresent,Firefox 61.0,,2018-09-20 18:52:07,2018-09-20 18:52:07,0.032s,PASSED
verifyElementPresent,Firefox 61.0,,2018-09-20 18:52:07,2018-09-20 18:52:07,0.015s,PASSED
verifyElementPresent,Firefox 61.0,,2018-09-20 18:52:07,2018-09-20 18:52:07,0.020s,PASSED
verifyElementPresent,Firefox 61.0,,2018-09-20 18:52:07,2018-09-20 18:52:07,0.017s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:07,2018-09-20 18:52:07,0.257s,PASSED
setText,Firefox 61.0,,2018-09-20 18:52:07,2018-09-20 18:52:07,0.082s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:07,2018-09-20 18:52:08,0.824s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:08,2018-09-20 18:52:08,0.282s,PASSED
,,,,,,
Test Cases/Manage Employees Department/TCA095003,Firefox 61.0,,2018-09-20 18:52:08,2018-09-20 18:52:09,0.327s,PASSED
click,Firefox 61.0,,2018-09-20 18:52:08,2018-09-20 18:52:09,0.142s,PASSED
verifyElementText,Firefox 61.0,,2018-09-20 18:52:09,2018-09-20 18:52:09,0.042s,PASSED
