Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
VAA0045-Manage HR Department,Chrome 69.0.3497.100,,2018-09-21 11:48:10,2018-09-21 11:48:23,13.191s,PASSED
,,,,,,
Test Cases/Manage HR Department/TCA097001,Chrome 69.0.3497.100,,2018-09-21 11:48:10,2018-09-21 11:48:17,7.077s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-09-21 11:48:11,2018-09-21 11:48:14,3.466s,PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-09-21 11:48:14,2018-09-21 11:48:15,1.125s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-21 11:48:15,2018-09-21 11:48:16,0.378s,PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-09-21 11:48:16,2018-09-21 11:48:16,0.365s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:16,2018-09-21 11:48:17,1.342s,PASSED
,,,,,,
Test Cases/Manage HR Department/TCA097002,Chrome 69.0.3497.100,,2018-09-21 11:48:17,2018-09-21 11:48:21,4.217s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:18,2018-09-21 11:48:18,0.734s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-21 11:48:18,2018-09-21 11:48:18,0.104s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-21 11:48:18,2018-09-21 11:48:18,0.060s,PASSED
verifyElementClickable,Chrome 69.0.3497.100,,2018-09-21 11:48:18,2018-09-21 11:48:19,0.074s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-21 11:48:19,2018-09-21 11:48:19,0.246s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:19,2018-09-21 11:48:19,0.162s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-21 11:48:19,2018-09-21 11:48:19,0.082s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-21 11:48:19,2018-09-21 11:48:19,0.141s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:19,2018-09-21 11:48:19,0.316s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:19,2018-09-21 11:48:20,0.122s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:20,2018-09-21 11:48:20,0.142s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:20,2018-09-21 11:48:20,0.117s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:20,2018-09-21 11:48:20,0.139s,PASSED
setText,Chrome 69.0.3497.100,,2018-09-21 11:48:20,2018-09-21 11:48:20,0.231s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:20,2018-09-21 11:48:21,0.469s,PASSED
Statement - text = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_/span_demoHR test)),Chrome 69.0.3497.100,,2018-09-21 11:48:21,2018-09-21 11:48:21,0.089s,PASSED
"Statement - If (!(text.contains(""test"")))",Chrome 69.0.3497.100,,2018-09-21 11:48:21,2018-09-21 11:48:21,0.000s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:21,2018-09-21 11:48:21,0.244s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-21 11:48:21,2018-09-21 11:48:21,0.152s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:21,2018-09-21 11:48:21,0.266s,PASSED
,,,,,,
Test Cases/Manage HR Department/TCA097003,Chrome 69.0.3497.100,,2018-09-21 11:48:21,2018-09-21 11:48:22,0.558s,PASSED
click,Chrome 69.0.3497.100,,2018-09-21 11:48:22,2018-09-21 11:48:22,0.234s,PASSED
verifyElementText,Chrome 69.0.3497.100,,2018-09-21 11:48:22,2018-09-21 11:48:22,0.114s,PASSED
